season,team,Games,PTS_per_game,FGA_per_game,FG3A_per_game,pct_3PA,FTA_per_game,pct_FTA,FG_pct,FG3_pct,FT_pct,eFG_pct,TS_pct,REB_per_game,OREB_per_game,DREB_per_game,AST_per_game,TOV_per_game,AST_to_TOV,STL_per_game,BLK_per_game,pace_proxy,cluster,pc1,pc2
1952-1953,LAL,26,84.1923076923077,38.88461538461539,0.0,0.0,5.653846153846154,0.14540059347181009,0.744807121661721,0.0,4.64625850340136,0.744807121661721,1.0174959095641827,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,38.88461538461539,0,-1.3868264921620048,-0.5342726987157927
1952-1953,NYK,6,83.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1.8691774165445842,-1.3380668628522456
1953-1954,ATL,46,69.45652173913044,5.565217391304348,0.0,0.0,2.3043478260869565,0.4140625,4.328125,0.0,9.235849056603774,4.328125,5.278548770816812,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.565217391304348,0,-3.5542831722908663,1.013978053604409
1953-1954,BOS,38,87.10526315789474,7.7631578947368425,0.0,0.0,3.236842105263158,0.41694915254237286,3.9627118644067796,0.0,7.902439024390244,3.9627118644067796,4.7404903758020165,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.7631578947368425,0,-3.4379349173004954,0.8394001919973539
1953-1954,GSW,26,75.61538461538461,12.461538461538462,0.0,0.0,5.538461538461538,0.4444444444444444,2.212962962962963,0.0,3.6944444444444446,2.212962962962963,2.5376910367616685,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.461538461538462,0,-2.5235505654576103,-0.040245557405382576
1953-1954,LAL,20,79.6,35.35,0.0,0.0,3.6,0.10183875530410184,0.8132956152758133,0.0,6.138888888888889,0.8132956152758133,1.0775978772946337,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,35.35,0,-1.5120732626449644,-0.5302741756852977
1953-1954,NYK,8,73.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1.8079240662398823,-1.3450353129754156
1954-1955,ATL,51,88.56862745098039,3.235294117647059,0.0,0.0,4.352941176470588,1.3454545454545455,9.533333333333333,0.0,6.157657657657658,9.533333333333333,8.59791381148165,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.235294117647059,0,-5.3953901257260455,3.8213514359342526
1954-1955,BOS,45,103.46666666666667,2.0444444444444443,0.0,0.0,2.6444444444444444,1.2934782608695652,18.26086956521739,0.0,10.890756302521009,18.26086956521739,16.126350789692435,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0444444444444443,1,-8.522227678557131,7.94971933098579
1954-1955,GSW,30,92.33333333333333,5.433333333333334,0.0,0.0,4.333333333333333,0.7975460122699386,6.116564417177914,0.0,5.969230769230769,6.116564417177914,6.289736603088102,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.433333333333334,0,-4.231834659228284,1.9239654678591538
1954-1955,LAL,25,91.92,14.2,0.0,0.0,3.04,0.2140845070422535,2.3661971830985915,0.0,8.131578947368421,2.3661971830985915,2.9579857893110906,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,14.2,0,-2.744997030741784,0.0580033029170286
1954-1955,NYK,9,92.55555555555556,0.0,0.0,0.0,3.111111111111111,0.0,0.0,0.0,7.25,0.0,33.80681818181818,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-4.96555713364439,-2.5930741963035495
1955-1956,ATL,60,96.91666666666667,26.45,0.0,0.0,28.866666666666667,1.0913673597983617,1.307498424700693,0.0,0.9722863741339491,1.307498424700693,1.2377185962163912,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,26.45,0,-2.1448724929671052,-0.4143153927046375
1955-1956,BOS,42,105.26190476190476,2.357142857142857,0.0,0.0,24.071428571428573,10.212121212121213,15.626262626262626,0.0,1.1938674579624136,15.626262626262626,4.064614592527215,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.357142857142857,1,-8.426590142998325,10.097094652988817
1955-1956,GSW,35,100.08571428571429,0.0,0.0,0.0,27.17142857142857,0.0,0.0,0.0,1.0757097791798107,0.0,4.1857852977726795,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.5661221443942606,-1.9578414326329123
1955-1956,LAL,21,98.57142857142857,3.9523809523809526,0.0,0.0,26.857142857142858,6.795180722891566,8.91566265060241,0.0,1.0460992907801419,8.91566265060241,3.1253774610460203,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.9523809523809526,1,-5.972789179002701,5.264347189353374
1955-1956,NYK,9,102.22222222222223,0.0,0.0,0.0,26.666666666666668,0.0,0.0,0.0,1.025,0.0,4.356060606060606,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.6408482708089096,-2.051151927999508
1956-1957,ATL,63,101.53968253968254,17.634920634920636,0.0,0.0,13.26984126984127,0.7524752475247525,2.083708370837084,0.0,2.1136363636363638,2.083708370837084,2.162843850585594,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,17.634920634920636,0,-2.4754799670025207,0.08458238972184978
1956-1957,BOS,42,105.61904761904762,0.0,0.0,0.0,4.595238095238095,0.0,0.0,0.0,6.124352331606218,0.0,26.118699952896844,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-4.316592965477262,-2.1998269630607035
1956-1957,GSW,30,103.83333333333333,0.0,0.0,0.0,2.433333333333333,0.0,0.0,0.0,11.821917808219178,0.0,48.49003735990038,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-6.341723874296533,-2.9943686139100416
1956-1957,LAL,23,103.6086956521739,0.0,0.0,0.0,5.043478260869565,0.0,0.0,0.0,5.577586206896552,0.0,23.344435736677116,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-4.105067609191659,-2.186847266021159
1956-1957,NYK,9,100.0,0.0,0.0,0.0,5.222222222222222,0.0,0.0,0.0,5.191489361702128,0.0,21.760154738878143,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-3.973626034134085,-2.1940975561709224
1957-1958,ATL,62,109.06451612903226,19.14516129032258,0.0,0.0,9.5,0.4962089300758214,2.0438079191238416,0.0,3.242784380305603,2.0438079191238416,2.337915583337943,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,19.14516129032258,0,-2.440373926949785,0.07200958113616424
1957-1958,BOS,47,110.97872340425532,0.0,0.0,0.0,2.74468085106383,0.0,0.0,0.0,9.86046511627907,0.0,45.94785059901339,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-6.067839690297721,-2.84512151894482
1957-1958,GSW,30,106.76666666666667,0.0,0.0,0.0,2.8333333333333335,0.0,0.0,0.0,10.294117647058824,0.0,42.82085561497326,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-5.844310524258923,-2.798570900920775
1957-1958,LAL,21,109.80952380952381,0.0,0.0,0.0,2.0476190476190474,0.0,0.0,0.0,15.674418604651162,0.0,60.940803382663844,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-7.547409844580239,-3.448354589276425
1957-1958,NYK,9,109.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.007348953866563,-1.2889939286266714
1958-1959,ATL,57,107.91228070175438,19.280701754385966,0.0,0.0,13.929824561403509,0.7224749772520473,2.048225659690628,0.0,2.079345088161209,2.048225659690628,2.123436162280096,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,19.280701754385966,0,-2.470458435482812,0.04505834029756135
1958-1959,BOS,46,117.6304347826087,2.1739130434782608,0.0,0.0,14.804347826086957,6.81,20.92,0.0,1.801762114537445,20.92,6.769842858572716,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.1739130434782608,1,-9.349021719317701,11.526107489463685
1958-1959,GSW,30,103.66666666666667,3.1333333333333333,0.0,0.0,10.333333333333334,3.297872340425532,12.46808510638298,0.0,2.470967741935484,12.46808510638298,6.749131944444445,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.1333333333333333,1,-6.424251482828282,5.9195474497368075
1958-1959,LAL,24,106.66666666666667,4.208333333333333,0.0,0.0,17.125,4.069306930693069,9.178217821782178,0.0,1.7177615571776155,9.178217821782178,4.541583877377235,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.208333333333333,1,-5.593583639744962,4.4990110244330666
1958-1959,NYK,9,106.22222222222223,0.0,0.0,0.0,17.666666666666668,0.0,0.0,0.0,1.949685534591195,0.0,6.832475700400229,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.804772275366549,-1.9294706988922234
1959-1960,ATL,67,111.6268656716418,56.32835820895522,0.0,0.0,30.507462686567163,0.5416004239533652,0.7424483306836248,0.0,0.9173189823874756,0.7424483306836248,0.8001737507917216,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,56.32835820895522,0,-1.1902803339305132,-0.5657260412650849
1959-1960,BOS,50,125.34,2.58,0.0,0.0,24.36,9.44186046511628,19.550387596899224,0.0,1.0041050903119868,19.550387596899224,4.712597004150876,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.58,1,-9.424986166947335,11.783718606752565
1959-1960,GSW,31,117.09677419354838,0.0,0.0,0.0,20.06451612903226,0.0,0.0,0.0,1.0610932475884245,0.0,6.631832797427653,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.7937287815174567,-1.881396698121624
1959-1960,LAL,24,109.66666666666667,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.7447916666666667,0.0,7.788825757575757,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.8441336214479973,-1.866404183514361
1959-1960,NYK,9,115.11111111111111,0.0,0.0,0.0,24.22222222222222,0.0,0.0,0.0,1.091743119266055,0.0,5.400333611342786,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.774935867311604,-2.016319299566688
1960-1961,ATL,68,116.76470588235294,78.38235294117646,0.0,0.0,32.25,0.41144465290806753,0.5718574108818011,0.0,0.7934336525307798,0.5718574108818011,0.6306672682099217,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,78.38235294117646,2,-0.5928832126141775,-0.48633167801951177
1960-1961,BOS,46,119.76086956521739,24.02173913043478,0.0,0.0,24.67391304347826,1.0271493212669682,1.9547511312217194,0.0,1.0475770925110133,1.9547511312217194,1.7168411867364746,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,24.02173913043478,0,-2.5161412568863515,-0.08694229459302419
1960-1961,GSW,33,121.36363636363636,10.090909090909092,0.0,0.0,31.272727272727273,3.099099099099099,4.777777777777778,0.0,0.7974806201550387,4.777777777777778,2.5442140570208878,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.090909090909092,0,-4.1481206777010575,1.777581470062837
