team,metric,yoy_delta,slope,first_value,last_value,seasons_count
SEA,STL_per_game,0.0,0.0,0.0,0.0,41
SEA,BLK_per_game,0.0,0.0,0.0,0.0,41
MIL,TS_pct,-3.2516687384535423,0.004994657115442179,3.850017024174328,0.5983482857207859,57
MIL,eFG_pct,0.5717900063251107,0.005266994898911077,0.0,0.5717900063251107,57
MIL,pace_proxy,86.23636363636363,-1.1654772665773656,0.0,86.23636363636363,57
MIL,REB_per_game,0.0,0.0,0.0,0.0,57
MIL,OREB_per_game,0.0,0.0,0.0,0.0,57
MIL,AST_to_TOV,0.0,0.0,0.0,0.0,57
MIL,STL_per_game,0.0,0.0,0.0,0.0,57
MIL,BLK_per_game,0.0,0.0,0.0,0.0,57
PHX,TS_pct,-2.8814797011692788,0.0026324235166890796,3.4690749133564385,0.5875952121871599,57
PHX,eFG_pct,0.550355871886121,-0.0005370538565828849,0.0,0.550355871886121,57
PHX,pace_proxy,87.8125,-1.0156486262216355,0.0,87.8125,57
PHX,REB_per_game,0.0,0.0,0.0,0.0,57
PHX,OREB_per_game,0.0,0.0,0.0,0.0,57
PHX,AST_to_TOV,0.0,0.0,0.0,0.0,57
PHX,STL_per_game,0.0,0.0,0.0,0.0,57
PHX,BLK_per_game,0.0,0.0,0.0,0.0,57
CLE,TS_pct,-3.5278747603753478,0.013111600118458999,4.132565944418276,0.604691184042928,55
CLE,eFG_pct,0.5741785803862554,0.014154808091712994,0.0,0.5741785803862554,55
CLE,pace_proxy,90.61363636363636,1.1833225108225232,0.0,90.61363636363636,55
CLE,REB_per_game,0.0,0.0,0.0,0.0,55
CLE,OREB_per_game,0.0,0.0,0.0,0.0,55
CLE,AST_to_TOV,0.0,0.0,0.0,0.0,55
CLE,STL_per_game,0.0,0.0,0.0,0.0,55
CLE,BLK_per_game,0.0,0.0,0.0,0.0,55
POR,TS_pct,-3.7373052687763244,-0.007589637167171292,4.280472890338361,0.5431676215620365,55
POR,eFG_pct,0.5071860816944024,-0.007163866686326469,0.0,0.5071860816944024,55
POR,pace_proxy,91.17241379310344,0.153021627159558,0.0,91.17241379310344,55
POR,REB_per_game,0.0,0.0,0.0,0.0,55
POR,OREB_per_game,0.0,0.0,0.0,0.0,55
POR,AST_to_TOV,0.0,0.0,0.0,0.0,55
POR,STL_per_game,0.0,0.0,0.0,0.0,55
POR,BLK_per_game,0.0,0.0,0.0,0.0,55
SAC,TS_pct,-4.567132591271753,0.0043287617044193444,5.155283198476916,0.5881506072051625,53
SAC,eFG_pct,0.5565684899485741,0.004831920464009374,0.0,0.5565684899485741,53
SAC,pace_proxy,93.0,1.2516600790513863,0.0,93.0,53
SAC,REB_per_game,0.0,0.0,0.0,0.0,53
SAC,OREB_per_game,0.0,0.0,0.0,0.0,53
SAC,AST_to_TOV,0.0,0.0,0.0,0.0,53
SAC,STL_per_game,0.0,0.0,0.0,0.0,53
SAC,BLK_per_game,0.0,0.0,0.0,0.0,53
UTA,TS_pct,-4.039911383457309,-0.006054930210604995,4.605263157894736,0.5653517744374277,51
UTA,eFG_pct,0.525625,-0.006290850985667446,0.0,0.525625,51
UTA,pace_proxy,80.0,-1.0488888888888774,0.0,80.0,51
UTA,REB_per_game,0.0,0.0,0.0,0.0,51
UTA,OREB_per_game,0.0,0.0,0.0,0.0,51
UTA,AST_to_TOV,0.0,0.0,0.0,0.0,51
UTA,STL_per_game,0.0,0.0,0.0,0.0,51
UTA,BLK_per_game,0.0,0.0,0.0,0.0,51
BKN,TS_pct,-3.2819422318506506,-0.011651069593094712,3.831090026478376,0.5491477946277254,49
BKN,eFG_pct,0.5102564102564102,-0.011902073593725604,0.0,0.5102564102564102,49
BKN,pace_proxy,85.3125,-0.406247044917249,0.0,85.3125,49
BKN,REB_per_game,0.0,0.0,0.0,0.0,49
BKN,OREB_per_game,0.0,0.0,0.0,0.0,49
BKN,AST_to_TOV,0.0,0.0,0.0,0.0,49
BKN,STL_per_game,0.0,0.0,0.0,0.0,49
BKN,BLK_per_game,0.0,0.0,0.0,0.0,49
DEN,TS_pct,-3.0748054982971293,0.0008531072759675166,3.669942328122629,0.5951368298254994,49
DEN,eFG_pct,0.5622703144140465,0.001526516604950283,0.0,0.5622703144140465,49
